Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18,2,0.884896126713833,2,6,2,1,2,2,79.0638746727023,3.67096695622934,4,1,1,0.0,0.245421584941066,0,0,22.7837960009114,4,4,1,6,0,1,0,2,0,0
35,3,0.528299633583058,1,10,2,3,2,1,44.462381645364,4.83823641694839,1,3,1,0.354165796688055,0.521718940362603,0,0,10.7537434714825,3,4,1,8,0,3,9,8,0,4
46,3,0.225415889690312,2,1,2,2,2,1,31.8216855199669,2.21343541755574,9,2,1,0.261410600966966,0.824330446815363,4,0,13.092579722152,3,3,2,8,6,1,7,5,4,4
26,2,0.300147564337888,1,1,2,3,3,2,82.7363207740769,2.99713469482815,9,4,3,0.156042789492239,0.0953940534594883,1,0,11.0152615045712,3,3,1,11,0,1,7,1,1,4
40,3,0.387151473602023,3,5,3,2,1,1,85.7357395806325,1.94312035578636,8,1,1,0.161743663345642,0.0,0,0,13.7655367802936,3,3,1,12,2,3,0,7,0,4
18,2,0.292969687020957,1,14,3,1,3,1,51.0496193264179,3.13436603524644,3,2,3,0.0,0.946398296355741,2,0,14.0517770562183,3,3,1,0,3,1,0,1,0,0
39,3,0.247270982549977,3,1,3,5,2,1,30.0,2.79237143648608,7,2,3,0.390047682966701,0.0,1,0,23.4496029983759,4,1,1,15,0,1,16,5,5,0
42,2,0.787214143098539,1,13,2,1,1,1,95.4470929054933,2.42684909943778,3,1,2,0.0,0.187015556131792,4,0,3.47247565458359,3,1,1,7,2,1,14,2,0,4
39,2,0.360353272174383,3,24,4,4,2,1,84.7859793942981,3.3814830915685,5,1,1,0.576933175065172,0.844341727191312,2,0,15.193892585657,3,3,1,6,2,1,20,3,1,0
41,2,0.318283622419431,2,30,3,2,1,1,98.2748549218772,2.81126043226691,3,4,1,0.290980421971081,0.725236083577489,1,0,6.64013154341647,3,4,1,6,1,2,11,8,4,6
27,1,0.673707321188431,1,16,2,5,4,1,70.1303647171047,2.91339726786792,8,2,1,0.51164053240056,0.0,5,0,16.2257498300301,3,4,2,6,1,1,8,8,1,9
44,3,0.0,2,10,3,4,2,1,61.8812825977229,3.43351682699186,2,4,1,0.0,0.383693356002619,0,0,13.308798149351,3,1,1,15,3,2,2,0,3,0
20,1,0.577365171755751,1,1,3,2,1,2,63.1887682855909,2.30938877125004,8,3,1,0.0,0.0,1,0,10.9347322984555,3,1,1,3,4,1,0,0,0,0
32,3,0.477765221569139,2,20,3,3,3,2,50.7958051233783,3.71673211590062,9,4,3,0.213189245431854,0.0121357517148391,1,0,19.058285037905,3,4,1,1,2,2,6,2,5,1
30,3,0.275420197043712,2,4,1,3,1,1,36.0995676794035,1.92814957752323,6,4,1,0.274737404991838,0.316514367598619,4,0,15.4375055694529,3,1,1,2,2,2,1,1,0,8
40,1,0.108375677644769,1,16,1,3,3,1,100.0,2.82942953155278,7,2,1,0.673287394667207,0.328312344263964,5,0,12.9250698257048,3,2,3,15,2,3,9,0,0,2
32,1,0.420267107662114,3,17,4,5,3,1,48.5248053925291,4.00327292025545,9,1,2,0.512551434407615,0.046466061825807,0,0,8.93587059743023,3,2,1,1,2,2,3,5,10,10
60,2,0.987539186490136,1,1,1,1,3,1,57.1100774153506,3.04215376140908,3,1,1,0.56241860397887,0.784536722141436,4,0,18.5114978949955,3,1,1,21,1,1,5,1,2,4
31,2,0.397234116968643,3,11,3,2,1,1,56.690794804316,3.73321798999671,7,1,3,0.60864556197485,0.601344112666162,0,0,17.4563649716418,3,1,1,7,4,3,0,0,0,2
34,2,0.631252327121418,2,1,2,3,2,1,61.2714432624009,4.06239428666384,3,3,2,0.0894032560941022,0.272017374963247,1,0,25.2964724360263,3,2,1,19,2,3,12,11,0,6
32,3,0.583080060423501,2,6,3,3,4,1,38.3009778493344,2.58678373810886,7,4,3,0.141481564463505,0.266929456859619,2,0,17.1257055277748,3,1,1,19,0,2,4,9,6,7
60,2,0.60886256413886,2,8,3,3,2,1,100.0,3.44946119445524,5,1,1,0.0,0.361824377958698,4,1,20.8668249436963,3,1,3,15,1,1,4,1,0,0
43,3,1.0,1,5,2,3,2,1,69.8285383801696,0.144217082745642,3,1,1,0.0159625917405128,0.501361456095993,5,0,11.5691420209477,3,1,1,8,2,1,12,0,0,3
32,3,0.283429576600065,1,15,3,4,4,2,52.9136230986694,0.465063230277119,1,2,2,0.0,0.0,0,0,18.5161622315807,3,4,2,0,1,3,7,0,0,3
41,1,1.0,1,2,4,4,3,2,31.1532111448524,2.92135005637192,9,2,2,0.227615827551701,0.539244222417047,4,1,16.3499812754728,3,3,1,0,2,2,0,0,0,0
52,1,0.101237935874057,1,13,1,4,2,1,30.0,1.31146351394951,1,1,1,0.504183987510003,1.0,3,0,14.8607847204962,3,4,1,33,1,3,40,14,15,0
23,3,0.102684704723007,2,1,3,4,1,1,30.0,2.96416504673855,2,3,2,0.556808230844202,0.632677675411816,0,0,22.6700902921069,4,3,1,8,5,3,6,7,5,7
25,3,0.491411456966071,3,1,2,3,3,2,41.9430711663668,0.24382800536667,7,1,3,0.292643444071101,0.520450903013562,4,0,16.3645194480684,3,2,1,13,4,3,0,1,0,0
41,2,1.0,1,28,3,1,1,1,99.5163725714313,2.46998261191354,8,1,3,0.308352455339601,0.791677085623735,0,0,19.1087816462321,4,1,1,17,1,2,2,4,0,4
47,3,1.0,1,8,3,1,4,1,100.0,1.93007107949463,4,2,1,1.0,0.808357336353662,0,0,8.05348716425844,3,3,1,29,4,2,14,7,12,10
31,3,0.538726517040128,2,11,2,5,1,1,63.8730474293125,3.40768674158798,1,1,2,0.0304966971320197,0.114538667573307,3,0,25.9631396946108,3,3,1,11,1,4,0,1,0,2
48,2,0.0,3,1,2,3,1,2,64.5341473958719,2.2905912521993,6,4,2,0.219366025848428,0.772960667494781,6,0,17.7292168228217,3,2,1,8,2,1,11,3,8,3
34,3,0.139834906667606,1,18,2,1,2,1,54.0020408294524,1.27054952647828,5,3,1,0.506594986970618,0.737462667728527,7,0,13.7890171740499,3,1,1,14,0,2,5,0,0,5
40,2,0.459288876683091,1,1,3,2,1,1,31.5010433871168,1.26774037991838,5,4,2,0.0478860782391292,0.665789974132911,0,0,7.74524304113271,3,1,1,19,4,3,18,15,15,5
40,1,0.733826685803661,1,17,2,4,1,2,75.7008577598748,3.04269222471344,3,1,1,0.934884523021577,0.394679557552056,6,0,14.3137991644419,3,4,2,12,3,2,12,7,12,6
51,3,1.0,1,2,4,3,3,1,53.7435032675141,2.9794360959042,4,3,1,0.927690541233592,0.585487118852776,1,0,12.6149477519526,3,3,1,22,4,3,6,4,5,2
41,1,0.299939404080079,1,5,2,1,3,1,38.2363792591174,3.35728228528459,3,2,1,0.390666807436103,0.982111229858157,0,0,5.82668934597605,3,2,1,19,4,2,14,8,2,11
40,3,0.347830860312821,2,25,3,1,2,1,100.0,3.44844464252123,4,1,2,0.410669433949105,0.285220975922328,0,1,18.8378149985021,4,4,1,10,0,1,7,0,1,0
25,2,0.122405696923293,2,26,1,2,4,1,100.0,2.24115423983947,1,1,2,0.311746154220245,0.323694753892343,0,0,16.7614404831178,3,1,2,5,1,1,0,0,0,0
30,1,0.0,3,16,4,6,1,1,53.5548830320373,3.36337156776314,9,1,3,0.447219301876704,0.691174250033538,8,0,13.2182391923076,3,2,1,10,4,1,0,6,1,0
22,2,0.245186418295391,1,16,4,1,3,1,71.2252921762933,1.86915070056365,3,3,3,0.310870109100547,0.263397961192169,3,0,12.508787466875,3,4,1,0,3,1,6,3,3,5
39,3,1.0,3,1,2,2,1,1,30.0,2.50267653614494,1,1,2,0.124353700607106,0.138761602977062,5,0,20.1699344610357,3,1,1,9,1,4,0,4,0,3
55,1,0.457494732134314,2,8,2,2,2,1,39.9519944162056,3.2186290108445,3,3,3,0.0,0.809749024984892,8,0,8.41488603710065,3,3,1,20,4,2,0,2,0,0
27,3,0.0683477075858986,1,1,1,2,1,2,87.1954841532308,2.55611347216872,5,4,1,0.470759327649574,1.0,0,0,15.1087293762466,3,2,1,4,2,3,14,4,0,2
26,2,0.73948976814775,2,5,3,4,2,2,33.2284847405531,2.4796973838769,6,2,1,0.230683283081594,0.504880583632711,0,0,17.0764735976111,3,3,1,14,1,2,0,0,0,4
29,3,0.0354388603265388,3,28,1,1,2,1,72.4159982559238,4.64794277009462,8,3,2,0.148891114835579,0.313020820976981,6,1,12.0672870246404,3,4,1,17,4,3,0,3,2,2
19,3,0.991076195418594,3,21,2,4,2,2,75.2957551794003,3.44356466556024,9,4,3,0.0,0.753080589338407,1,0,10.9077198221586,3,2,1,6,3,2,0,0,0,0
45,3,0.698863171850152,3,6,1,1,1,1,78.4980587048639,3.53464492500628,9,4,1,0.609884984478493,0.210101592914315,6,0,12.4065335784653,3,3,1,19,2,1,13,11,1,9
29,2,0.666588067523572,2,6,1,2,4,1,54.6325888225537,3.8593961787976,5,3,3,0.109258449018128,0.721956790831691,0,0,17.1969208088674,3,1,1,11,0,2,6,0,1,2
29,2,0.296397784083832,1,1,3,4,4,1,66.8239432425046,2.27399341963712,5,4,2,0.0586137895938363,0.177570657414424,0,0,12.9746107406301,3,3,1,2,1,1,4,15,6,9
30,2,0.305896614627132,2,17,1,2,4,1,30.0,1.90490455758757,6,4,1,0.0651803014460173,0.0280282360137817,0,0,14.673909416404,3,4,1,16,3,1,7,0,5,0
48,1,1.0,2,1,4,1,1,1,57.6621380496683,2.41613139942679,9,1,1,1.0,0.45071568192453,5,1,19.9419474090085,3,2,1,29,2,1,16,2,0,9
24,3,0.549572887781486,3,11,2,4,1,1,56.6395204758942,1.17522926861091,7,4,1,0.166056841559839,0.618516627740679,7,0,16.1571036955847,3,4,1,7,4,1,0,0,0,3
29,1,0.64423923596827,2,3,1,2,2,1,65.187684331889,2.97869476126021,4,1,1,0.0,0.931236025796003,5,0,11.8244446312614,3,4,3,0,3,3,4,0,0,0
35,1,0.0497980808132505,2,1,3,2,2,1,81.0442037386244,3.40818216001324,7,1,3,0.342044656675025,1.0,0,0,13.4796891124763,3,1,1,10,2,2,1,2,5,0
20,3,0.217032971741176,3,17,1,1,2,1,84.2319305900174,2.04535070025609,9,1,1,0.092220413281171,0.624169845063327,3,0,10.4384078905024,3,1,1,6,0,3,0,2,0,0
45,2,0.628001563945607,1,1,1,3,1,1,56.631294242497,1.39765248312659,3,4,1,0.0468385069932922,0.175953189712635,5,0,8.94177165598518,3,1,3,9,1,3,0,5,0,0
18,3,0.809748808057304,1,15,1,5,2,1,100.0,1.87820726361762,4,3,3,0.188433671375755,0.477661776734141,0,0,14.7236868239689,3,1,1,14,2,2,5,3,0,3
57,3,0.50242134536307,2,26,2,2,1,2,73.2182912787534,1.31611544273862,3,3,1,0.687797758716077,1.0,4,0,16.8875858430876,3,3,1,17,3,1,2,0,0,0
45,3,0.289683870986498,3,1,1,3,1,2,90.2975851774595,2.66088514427624,8,4,2,0.0,0.121820636964127,1,0,12.6582388222199,3,2,1,6,0,2,6,3,0,8
34,3,0.848964499186754,1,1,4,1,4,1,100.0,4.01727491210708,5,3,2,0.386490117426162,0.657500820389643,3,0,13.508891426895,3,1,1,18,2,1,5,2,3,2
29,1,0.350201779529346,2,3,1,2,4,1,86.126543361023,3.58486432511929,6,3,1,0.109813581837882,0.69446148475871,0,0,15.3044579048155,3,1,1,5,2,3,2,0,0,0
31,1,0.138291373005619,2,3,3,5,1,1,91.2425090523438,2.44173960411085,4,2,1,0.406516546539312,0.977431858004463,3,0,17.5252083440194,3,2,1,7,6,3,10,11,9,1
27,2,0.184926211218149,3,5,1,2,3,1,69.2413466445254,2.13140231345731,4,3,3,0.401596815933898,0.991180483799566,9,0,9.8701671297013,3,1,1,2,2,3,0,2,0,1
41,1,0.301660900545997,2,5,1,4,1,1,69.1251020961862,3.303702721918,1,3,2,0.170758897572894,0.926567099081853,1,1,15.3486479229393,3,1,1,13,0,2,13,5,5,6
53,2,0.127929389514159,2,1,1,4,1,1,30.0,3.64056139246181,7,3,3,0.0350563706070154,0.932185707564198,6,0,19.9410388749096,3,3,1,5,2,1,8,6,4,5
32,2,0.537218139779456,2,12,1,2,2,2,30.2121676237593,1.02389538327548,5,3,2,0.0003468097307804,1.0,3,0,16.3527029513081,3,3,3,5,0,3,1,3,0,5
51,3,0.420620019752982,1,5,4,1,1,1,41.1665536426107,4.16841998425722,6,1,3,0.718600021277349,1.0,9,0,12.2907775208906,3,3,1,39,3,2,35,17,7,4
36,1,0.000539911682434,3,7,1,3,3,1,43.1831637554264,0.856880800663716,6,3,1,0.0,0.280222813691602,0,0,13.9889177591685,3,4,1,2,2,2,5,0,1,0
55,3,0.612000043966685,1,5,2,2,3,1,79.1880042545104,2.32890009430343,1,1,1,0.277643535334797,0.057370855046233,8,0,24.5947889701218,4,4,1,17,2,3,0,5,0,0
60,2,0.264359784514337,2,1,4,1,3,1,44.2619392221251,3.49485914568419,4,1,3,1.0,1.0,9,0,9.73156887226829,3,4,1,39,0,2,30,16,13,7
18,1,0.1864210027337,2,1,3,1,2,1,36.3641373587089,1.53364965745007,6,3,2,0.313299665299516,0.724344242987018,0,1,11.3117576847644,3,3,1,0,2,3,6,7,0,5
35,1,0.149976915447758,2,4,3,1,4,1,30.0,3.45596879546415,3,4,2,0.0,0.109758123967461,1,0,23.5388294679342,3,1,1,9,4,3,6,4,0,6
24,3,0.0,1,16,1,6,1,1,88.7380368066718,1.68120875556832,1,2,2,0.329572045338643,0.463364701591192,2,0,13.0980864479692,3,1,1,0,2,4,0,0,0,0
36,2,0.785280352606463,2,1,1,1,4,1,67.9733720965838,2.03641662262983,2,1,2,0.161104494928546,0.286160743077737,5,0,18.6238434791828,3,4,1,18,4,3,9,13,5,7
56,1,0.678837697167519,2,7,4,4,1,1,100.0,3.9674499156043,2,3,1,0.956517844734314,1.0,0,0,23.7956385496542,4,1,1,35,1,2,16,7,2,12
37,2,0.0448115878220008,1,1,4,3,1,2,69.2190755146291,1.96632893104638,6,3,3,0.0,0.601621016986509,2,1,16.2632826546757,3,2,1,7,2,4,1,6,2,0
50,2,0.68223104952878,3,11,2,3,2,2,78.2108011094033,0.929492133143435,8,3,1,0.193048805427952,0.815493553880714,4,0,18.678728566695,3,4,2,0,1,1,2,1,2,7
38,2,0.188203692922371,2,1,1,3,1,1,46.5605404327037,3.66448881961734,8,1,2,0.366177878589499,0.217528004179393,9,0,13.9243538955,3,4,1,7,3,4,14,7,9,8
20,1,0.0,1,2,4,1,3,1,64.5251665412344,1.76556005965621,3,3,1,0.311859436922276,0.261422565519306,2,0,17.776323495146,3,1,1,0,0,2,0,0,9,1
34,2,0.873721197014631,1,1,2,2,3,1,52.2047593206339,2.570714165024,5,4,2,0.0,0.911560641788863,5,0,20.1237936782554,3,1,2,7,1,1,4,0,3,6
30,3,0.668962504357545,2,1,1,1,3,1,53.2983550932715,2.65479448412058,4,1,1,0.044336263162694,0.310761644954177,2,1,10.3410029768022,3,3,1,0,0,3,0,1,0,0
25,2,0.111599733309324,2,27,5,6,2,1,94.3932821309932,1.01142455202132,6,1,2,0.0588144620147767,0.470976435692039,2,0,12.4208996400604,3,1,1,2,1,4,4,2,0,1
36,2,0.410798507963005,2,16,2,3,2,1,69.0075924589165,1.09835353624233,5,3,2,0.0411839918915098,0.858893237497417,1,0,11.601284079293,3,1,1,10,0,3,7,3,1,0
33,2,0.242771746453078,1,27,5,4,1,1,84.9500319582508,2.2432390572045,4,2,1,0.0,0.618578424455441,6,0,11.8760849400806,3,2,1,0,0,4,0,3,0,1
32,3,0.946139773872123,3,1,1,2,2,1,100.0,-0.336825713563831,3,2,3,0.78903958519151,0.0441426774173903,6,1,11.5019593445149,3,1,1,22,2,2,25,6,6,11
38,2,0.522810206298461,3,10,4,2,1,2,74.3198915239166,2.53817696550786,5,1,1,0.526351935083306,0.534526160221444,0,0,15.5567377220441,3,1,1,25,2,2,0,0,0,3
18,2,0.371064218713859,1,1,2,6,1,2,71.8537357448658,1.96133220572076,1,2,2,0.13784008421834,0.906992789835979,2,0,9.22344448485286,3,2,1,6,2,4,0,2,0,0
25,1,0.0657451757033434,2,2,1,2,2,1,55.8465917211613,2.19250413755175,6,1,3,0.0,0.212225378389616,0,1,21.8426378390144,3,1,1,1,0,3,0,0,0,1
42,2,0.661593340762081,2,4,2,1,1,1,69.5572052280453,3.6703326924946,1,4,1,0.180865366477182,0.567356920305377,0,0,17.3035019856311,3,3,1,14,3,2,20,2,0,6
58,3,0.344378940901919,2,17,1,3,4,2,82.0612589389906,1.65624537577875,7,3,3,0.349772749037473,0.43878636124656,0,0,10.5182540387197,3,3,1,7,4,2,13,8,0,8
26,2,0.294054755831915,1,1,2,6,2,2,100.0,3.13016282768429,5,1,2,0.131897323187452,0.741690258031523,0,0,13.0864158725073,3,3,1,10,1,3,2,4,0,8
53,3,0.327562997022995,1,1,2,2,1,2,70.3339039309627,1.48484842567305,5,3,2,0.39913440519942,0.808863366009971,8,1,10.2361495536742,3,4,1,21,2,3,0,1,0,7
51,3,0.486897160786256,3,5,1,5,2,1,30.1517064036679,3.60970410790475,7,4,2,0.0,1.0,4,0,13.3261020569129,3,3,1,8,3,3,5,10,9,5
24,2,0.0,2,17,2,5,1,1,89.0549816298444,4.07250236820328,9,2,2,0.390311119543518,0.773158909831957,7,0,15.8333971478341,3,1,1,9,0,2,0,1,0,5
37,2,1.0,1,19,1,4,2,1,37.5283621503371,3.17505887239783,4,2,1,0.777472128406974,1.0,6,1,14.6097655989193,3,3,1,18,2,4,4,5,3,9
27,2,0.638254653640545,3,3,2,3,2,1,61.4959253207427,3.5292024815491,6,2,2,0.0,0.128339818239367,0,1,13.6956921640298,3,2,1,0,1,3,3,1,1,0
37,1,0.970191770062497,2,17,4,4,1,1,37.7331286954416,3.36149064009386,8,3,3,0.164442325636724,0.338528130628634,3,0,24.8483016116964,4,1,1,7,0,3,11,15,8,8
31,3,0.794106942470392,2,7,3,3,4,1,47.1348275942282,2.44470116605974,6,3,3,0.0775067148711385,0.383947622952954,2,0,13.940247858847,3,1,1,1,2,3,2,0,0,0
32,3,0.0872029008877171,1,18,3,4,1,1,100.0,2.95470712013349,5,1,1,0.359983918742085,0.0,0,0,11.5807832892493,3,2,1,9,2,4,10,8,5,3
